State,County,County Code,2012,2013,2014,2015,2016,2017,2018
Alabama,"Autauga County, AL",1001,514,535,482,523,520,528,536
Alabama,"Baldwin County, AL",1003,1801,1973,1952,2092,1974,2189,2357
Alabama,"Barbour County, AL",1005,272,278,298,295,256,320,312
Alabama,"Bibb County, AL",1007,250,242,237,238,239,271,276
Alabama,"Blount County, AL",1009,579,556,624,613,697,712,689
Alabama,"Bullock County, AL",1011,101,120,119,120,133,125,112
Alabama,"Butler County, AL",1013,279,247,294,255,275,239,296
Alabama,"Calhoun County, AL",1015,1373,1403,1405,1484,1404,1523,1590
Alabama,"Chambers County, AL",1017,497,454,425,438,460,450,420
Alabama,"Cherokee County, AL",1019,333,331,340,345,361,346,348
Alabama,"Chilton County, AL",1021,483,514,444,529,475,520,510
Alabama,"Choctaw County, AL",1023,187,190,163,183,180,177,191
Alabama,"Clarke County, AL",1025,269,291,290,275,315,282,317
Alabama,"Clay County, AL",1027,166,166,188,190,177,164,184
Alabama,"Cleburne County, AL",1029,167,189,208,205,191,194,173
Alabama,"Coffee County, AL",1031,514,469,516,502,508,526,592
Alabama,"Colbert County, AL",1033,693,704,730,747,707,692,783
Alabama,"Conecuh County, AL",1035,193,161,164,190,153,174,179
Alabama,"Coosa County, AL",1037,127,134,122,151,160,134,148
Alabama,"Covington County, AL",1039,508,502,545,546,503,555,574
Alabama,"Crenshaw County, AL",1041,165,169,200,178,191,184,178
Alabama,"Cullman County, AL",1043,960,962,930,1007,1012,1057,1087
Alabama,"Dale County, AL",1045,451,499,473,511,550,537,536
Alabama,"Dallas County, AL",1047,552,524,510,544,571,521,566
Alabama,"DeKalb County, AL",1049,747,775,769,827,792,815,844
Alabama,"Elmore County, AL",1051,719,764,781,761,799,816,811
Alabama,"Escambia County, AL",1053,460,461,480,486,522,478,473
Alabama,"Etowah County, AL",1055,1345,1381,1346,1435,1389,1406,1460
Alabama,"Fayette County, AL",1057,236,220,230,228,249,237,234
Alabama,"Franklin County, AL",1059,405,383,393,382,376,364,371
Alabama,"Geneva County, AL",1061,347,346,343,350,379,364,395
Alabama,"Greene County, AL",1063,120,103,108,114,104,124,112
Alabama,"Hale County, AL",1065,160,181,184,171,189,209,170
Alabama,"Henry County, AL",1067,241,190,202,227,215,236,221
Alabama,"Houston County, AL",1069,1016,1113,1036,1085,1112,1186,1133
Alabama,"Jackson County, AL",1071,679,675,718,719,736,714,708
Alabama,"Jefferson County, AL",1073,6852,7001,6950,7182,7137,7314,7451
Alabama,"Lamar County, AL",1075,187,220,185,202,205,216,154
Alabama,"Lauderdale County, AL",1077,1061,1119,1088,1104,1161,1100,1149
Alabama,"Lawrence County, AL",1079,393,392,406,420,400,397,432
Alabama,"Lee County, AL",1081,934,1115,1191,1016,1007,1111,1115
Alabama,"Limestone County, AL",1083,736,645,763,776,727,848,890
Alabama,"Lowndes County, AL",1085,126,124,136,129,148,134,140
Alabama,"Macon County, AL",1087,215,235,244,231,259,218,268
Alabama,"Madison County, AL",1089,2738,2790,2907,3020,3282,3189,3352
Alabama,"Marengo County, AL",1091,240,262,258,252,270,282,301
Alabama,"Marion County, AL",1093,393,392,387,441,388,419,423
Alabama,"Marshall County, AL",1095,1085,1109,1066,1114,1187,1133,1192
Alabama,"Mobile County, AL",1097,4276,4259,4187,4285,4411,4301,4493
Alabama,"Monroe County, AL",1099,281,242,266,268,237,294,298
Alabama,"Montgomery County, AL",1101,1999,2095,2135,2168,2150,2157,2102
Alabama,"Morgan County, AL",1103,1262,1216,1234,1330,1318,1393,1362
Alabama,"Perry County, AL",1105,141,146,133,121,129,142,116
Alabama,"Pickens County, AL",1107,251,244,247,268,250,206,233
Alabama,"Pike County, AL",1109,308,367,296,302,302,337,321
Alabama,"Randolph County, AL",1111,265,282,309,314,295,345,292
Alabama,"Russell County, AL",1113,568,470,475,651,657,665,595
Alabama,"Shelby County, AL",1117,1332,1297,1337,1350,1490,1471,1551
Alabama,"St. Clair County, AL",1115,840,888,929,904,975,942,978
Alabama,"Sumter County, AL",1119,153,169,140,158,164,146,166
Alabama,"Talladega County, AL",1121,952,1035,886,1010,1018,1050,1015
Alabama,"Tallapoosa County, AL",1123,527,525,497,452,589,571,534
Alabama,"Tuscaloosa County, AL",1125,1625,1636,1678,1761,1763,1736,1849
Alabama,"Walker County, AL",1127,1003,1002,968,1055,1012,1086,1028
Alabama,"Washington County, AL",1129,208,225,207,230,212,183,189
Alabama,"Wilcox County, AL",1131,124,167,171,145,125,146,170
Alabama,"Winston County, AL",1133,317,315,290,304,324,337,307
Alaska,"Aleutians East Borough, AK",2013,,,,,12,,
Alaska,"Aleutians West Census Area, AK",2016,19,14,10,19,22,13,10
Alaska,"Anchorage Borough, AK",2020,1501,1583,1617,1658,1724,1742,1698
Alaska,"Bethel Census Area, AK",2050,114,90,103,113,122,120,123
Alaska,"Bristol Bay Borough, AK",2060,,11,,10,,,
Alaska,"Denali Borough, AK",2068,11,,19,,10,,15
Alaska,"Dillingham Census Area, AK",2070,31,41,27,42,31,36,36
Alaska,"Fairbanks North Star Borough, AK",2090,456,445,469,472,514,479,471
Alaska,"Haines Borough, AK",2100,20,16,25,13,14,13,17
Alaska,"Hoonah-Angoon Census Area, AK",2105,,,20,16,17,16,15
Alaska,"Juneau Borough, AK",2110,170,177,178,204,203,182,181
Alaska,"Kenai Peninsula Borough, AK",2122,355,377,404,445,475,428,508
Alaska,"Ketchikan Gateway Borough, AK",2130,98,68,111,81,87,108,98
Alaska,"Kodiak Island Borough, AK",2150,67,79,61,59,51,64,65
Alaska,"Lake and Peninsula Borough, AK",2164,,10,14,16,17,12,
Alaska,"Matanuska-Susitna Borough, AK",2170,514,546,539,581,608,597,619
Alaska,"Nome Census Area, AK",2180,67,65,54,54,88,80,65
Alaska,"North Slope Borough, AK",2185,41,43,41,65,61,47,46
Alaska,"Northwest Arctic Borough, AK",2188,47,38,40,48,56,53,64
Alaska,"Petersburg Borough/Census Area, AK",2195,,,18,27,23,24,24
Alaska,"Prince of Wales-Hyder Census Area, AK",2198,,,45,42,63,62,51
Alaska,"Prince of Wales-Outer Ketchikan Census Area, AK",2201,45,21,,,,,
Alaska,"Sitka Borough, AK",2220,71,63,63,69,57,59,70
Alaska,"Skagway-Hoonah-Angoon Census Area, AK",2232,19,16,,,,,
Alaska,"Southeast Fairbanks Census Area, AK",2240,45,48,55,46,47,48,42
Alaska,"Valdez-Cordova Census Area, AK",2261,44,48,78,66,54,46,68
Alaska,"Wade Hampton Census Area, AK",2270,54,73,44,60,54,70,56
Alaska,"Wrangell City and Borough, AK",2275,,,21,24,16,24,25
Alaska,"Wrangell-Petersburg Census Area, AK",2280,38,53,,,,,
Alaska,"Yukon-Koyukuk Census Area, AK",2290,63,57,53,61,55,58,53
Arizona,"Apache County, AZ",4001,553,634,634,698,681,741,694
Arizona,"Cochise County, AZ",4003,1210,1272,1208,1307,1348,1349,1361
Arizona,"Coconino County, AZ",4005,737,705,738,809,852,877,879
Arizona,"Gila County, AZ",4007,659,698,747,812,835,724,762
Arizona,"Graham County, AZ",4009,298,277,283,251,279,308,335
Arizona,"Greenlee County, AZ",4011,66,46,52,68,52,65,66
Arizona,"La Paz County, AZ",4012,259,263,264,259,272,330,316
Arizona,"Maricopa County, AZ",4013,26359,27231,27968,29197,30748,31326,32260
Arizona,"Mohave County, AZ",4015,2850,2980,2814,3090,3250,3298,3431
Arizona,"Navajo County, AZ",4017,913,965,943,922,1016,1075,1140
Arizona,"Pima County, AZ",4019,8792,8635,8748,9248,9508,9584,9853
Arizona,"Pinal County, AZ",4021,2476,2469,2649,2985,3023,3137,3154
Arizona,"Santa Cruz County, AZ",4023,309,286,273,296,303,297,278
Arizona,"Yavapai County, AZ",4025,2648,2739,2786,2926,2968,3133,3122
Arizona,"Yuma County, AZ",4027,1420,1334,1431,1431,1510,1514,1631
Arkansas,"Arkansas County, AR",5001,242,228,229,234,250,244,249
Arkansas,"Ashley County, AR",5003,250,257,267,276,262,264,262
Arkansas,"Baxter County, AR",5005,660,687,640,693,700,662,686
Arkansas,"Benton County, AR",5007,1656,1619,1751,1837,1758,1832,1956
Arkansas,"Boone County, AR",5009,398,441,429,471,461,437,452
Arkansas,"Bradley County, AR",5011,136,186,136,141,144,173,144
Arkansas,"Calhoun County, AR",5013,63,70,56,68,70,85,70
Arkansas,"Carroll County, AR",5015,310,290,312,324,315,339,338
Arkansas,"Chicot County, AR",5017,151,162,154,153,148,152,148
Arkansas,"Clark County, AR",5019,266,259,226,249,260,229,242
Arkansas,"Clay County, AR",5021,253,239,215,245,245,258,239
Arkansas,"Cleburne County, AR",5023,345,369,341,385,391,374,387
Arkansas,"Cleveland County, AR",5025,101,98,97,112,120,106,99
Arkansas,"Columbia County, AR",5027,291,311,278,310,312,294,272
Arkansas,"Conway County, AR",5029,264,264,248,276,273,297,265
Arkansas,"Craighead County, AR",5031,820,889,925,891,944,957,958
Arkansas,"Crawford County, AR",5033,608,600,612,655,648,640,622
Arkansas,"Crittenden County, AR",5035,493,486,498,465,515,545,519
Arkansas,"Cross County, AR",5037,273,209,229,223,244,229,254
Arkansas,"Dallas County, AR",5039,104,114,110,109,125,109,109
Arkansas,"Desha County, AR",5041,154,130,165,171,163,161,179
Arkansas,"Drew County, AR",5043,152,217,217,207,230,208,214
Arkansas,"Faulkner County, AR",5045,866,892,902,928,976,957,1040
Arkansas,"Franklin County, AR",5047,214,225,252,234,255,202,226
Arkansas,"Fulton County, AR",5049,169,160,163,184,151,215,171
Arkansas,"Garland County, AR",5051,1269,1387,1337,1406,1379,1461,1409
Arkansas,"Grant County, AR",5053,175,162,206,189,221,188,187
Arkansas,"Greene County, AR",5055,488,467,440,505,490,517,499
Arkansas,"Hempstead County, AR",5057,250,239,245,231,226,256,269
Arkansas,"Hot Spring County, AR",5059,366,403,392,422,433,443,438
Arkansas,"Howard County, AR",5061,186,153,154,192,155,186,167
Arkansas,"Independence County, AR",5063,413,402,448,436,434,401,418
Arkansas,"Izard County, AR",5065,195,185,185,198,182,215,210
Arkansas,"Jackson County, AR",5067,241,224,228,221,238,246,233
Arkansas,"Jefferson County, AR",5069,812,869,831,885,859,857,813
Arkansas,"Johnson County, AR",5071,269,241,254,275,258,291,271
Arkansas,"Lafayette County, AR",5073,111,103,110,78,109,97,101
Arkansas,"Lawrence County, AR",5075,241,227,246,229,260,264,225
Arkansas,"Lee County, AR",5077,142,130,119,123,107,119,114
Arkansas,"Lincoln County, AR",5079,122,139,123,124,142,167,153
Arkansas,"Little River County, AR",5081,146,160,156,173,184,169,158
Arkansas,"Logan County, AR",5083,258,280,292,318,254,297,280
Arkansas,"Lonoke County, AR",5085,636,629,579,690,701,702,673
Arkansas,"Madison County, AR",5087,155,171,178,182,192,204,217
Arkansas,"Marion County, AR",5089,242,252,253,261,258,283,269
Arkansas,"Miller County, AR",5091,480,440,443,485,522,499,533
Arkansas,"Mississippi County, AR",5093,495,510,467,502,514,558,501
Arkansas,"Monroe County, AR",5095,104,129,122,109,143,125,127
Arkansas,"Montgomery County, AR",5097,117,118,125,144,154,133,125
Arkansas,"Nevada County, AR",5099,124,127,111,122,130,116,108
Arkansas,"Newton County, AR",5101,93,104,89,108,81,111,99
Arkansas,"Ouachita County, AR",5103,350,362,343,346,345,348,333
Arkansas,"Perry County, AR",5105,111,144,121,128,131,125,116
Arkansas,"Phillips County, AR",5107,275,258,268,271,254,249,263
Arkansas,"Pike County, AR",5109,147,162,147,141,113,139,154
Arkansas,"Poinsett County, AR",5111,349,310,352,354,348,340,345
Arkansas,"Polk County, AR",5113,266,277,277,292,243,275,283
Arkansas,"Pope County, AR",5115,591,620,561,583,587,631,634
Arkansas,"Prairie County, AR",5117,103,96,122,106,105,106,125
Arkansas,"Pulaski County, AR",5119,3602,3551,3569,3677,3663,3800,3840
