Jurisdiction,Week,2015,2016,2017,2018,2019,2020
Alabama,1,1824,1580,1814,1966,1658,1756
Alabama,2,1816,1626,1776,2080,1692,1744
Alabama,3,1662,1616,1678,2058,1802,1642
Alabama,4,1708,1594,1592,2092,1704,1668
Alabama,5,1772,1772,1552,1852,1736,1590
Alabama,6,1708,1738,1710,1868,1690,1720
Alabama,7,1728,1768,1680,1742,1716,1686
Alabama,8,1796,1508,1726,1724,1674,1718
Alabama,9,1916,1592,1728,1570,1648,1846
Alabama,10,1746,1616,1566,1642,1646,1588
Alabama,11,1574,1554,1738,1690,1760,1748
Alabama,12,1570,1570,1668,1556,1606,1680
Alabama,13,1464,1532,1524,1518,1650,1600
Alabama,14,1566,1594,1588,1620,1582,1756
Alabama,15,1386,1482,1564,1662,1586,1600
Alabama,16,1578,1570,1536,1640,1522,1628
Alabama,17,1584,1454,1570,1546,1666,1610
Alabama,18,1368,1506,1404,1582,1546,1654
Alabama,19,1412,1470,1626,1498,1576,1628
Alabama,20,1386,1388,1510,1618,1524,1610
Alabama,21,1266,1456,1502,1548,1586,1630
Alabama,22,1150,1434,1436,1524,1584,1456
Alabama,23,1350,1480,1512,1604,1578,1657
Alabama,24,1392,1364,1372,1440,1500,1585
Alabama,25,1446,1494,1504,1500,1498,1553
Alabama,26,1382,1380,1412,1452,1514,1632
Alabama,27,1430,1378,1452,1456,1536,1672
Alabama,28,1440,1456,1504,1526,1582,1747
Alabama,29,1420,1446,1488,1488,1512,1736
Alabama,30,1396,1450,1356,1438,1512,1720
Alabama,31,1378,1414,1464,1488,1536,1780
Alabama,32,1494,1420,1440,1516,1560,1674
Alabama,33,1342,1492,1416,1468,1520,1623
Alabama,34,1444,1444,1424,1486,1498,1658
Alabama,35,1416,1448,1470,1456,1468,1579
Alabama,36,1460,1428,1536,1468,1560,1615
Alabama,37,1416,1488,1488,1404,1558,1662
Alabama,38,1504,1542,1560,1564,1346,1658
Alabama,39,1388,1420,1578,1496,1520,1587
Alabama,40,1404,1436,1520,1518,1458,1434
Alabama,41,1214,1510,1542,1500,1376,1452
Alabama,42,1270,1410,1542,1492,1602,
Alabama,43,1448,1496,1482,1512,1528,
Alabama,44,1402,1468,1508,1430,1440,
Alabama,45,1406,1576,1552,1534,1618,
Alabama,46,1604,1546,1546,1680,1700,
Alabama,47,1542,1614,1602,1560,1622,
Alabama,48,1448,1568,1666,1680,1572,
Alabama,49,1432,1670,1672,1636,1688,
Alabama,50,1200,1674,1824,1698,1664,
Alabama,51,1166,1782,1720,1798,1734,
Alabama,52,,3134,1762,1700,1582,
Alaska,1,22,66,80,28,38,32
Alaska,2,50,40,60,68,28,66
Alaska,3,32,36,28,46,54,42
Alaska,4,48,62,46,54,76,42
Alaska,5,58,44,32,38,42,60
Alaska,6,56,44,22,28,82,62
Alaska,7,30,36,64,58,34,62
Alaska,8,52,30,28,68,38,32
Alaska,9,36,62,24,42,40,36
Alaska,10,36,66,40,36,50,40
Alaska,11,34,42,80,46,66,66
Alaska,12,38,40,64,34,28,
Alaska,13,38,44,64,28,48,32
Alaska,14,26,,28,44,30,42
Alaska,15,54,34,38,26,26,52
Alaska,16,36,32,38,32,36,34
Alaska,17,40,38,32,30,30,24
Alaska,18,44,26,38,38,40,34
Alaska,19,90,46,40,26,52,41
Alaska,20,38,92,46,28,56,58
Alaska,21,32,,30,36,48,61
Alaska,22,60,90,52,30,28,47
Alaska,23,46,56,64,32,36,30
Alaska,24,36,52,58,46,24,61
Alaska,25,44,24,26,30,54,57
Alaska,26,24,58,64,30,56,32
Alaska,27,22,36,38,26,30,32
Alaska,28,62,50,32,68,48,41
Alaska,29,58,24,34,28,54,39
Alaska,30,32,34,24,62,38,41
Alaska,31,38,50,44,62,28,57
Alaska,32,,28,,36,40,29
Alaska,33,56,50,52,30,80,31
Alaska,34,68,26,48,78,28,84
Alaska,35,52,48,24,38,32,47
Alaska,36,88,60,60,62,30,41
Alaska,37,56,42,22,30,66,44
Alaska,38,48,30,36,34,64,34
Alaska,39,28,40,88,56,26,31
Alaska,40,66,60,42,30,62,
Alaska,41,58,36,40,26,40,35
Alaska,42,26,90,38,22,28,
Alaska,43,32,54,36,58,24,
Alaska,44,32,,24,32,32,
Alaska,45,30,48,22,56,68,
Alaska,46,36,46,48,34,32,
Alaska,47,50,46,28,62,56,
Alaska,48,52,52,34,58,76,
Alaska,49,48,58,32,32,46,
Alaska,50,,66,26,74,56,
Alaska,51,54,52,56,34,66,
Alaska,52,,98,46,44,74,
Arizona,1,1708,1738,1738,2288,2034,1968
Arizona,2,1790,1758,1842,2346,2000,2024
Arizona,3,1642,1768,1664,2038,1868,1944
Arizona,4,1962,1796,1732,1994,1836,1886
Arizona,5,1774,1754,1852,2064,1840,1896
Arizona,6,1610,1932,1862,1944,1772,1830
Arizona,7,1670,1964,1712,1844,1764,1950
Arizona,8,1570,1896,1644,1676,1912,1950
Arizona,9,1724,1780,1714,1858,1852,1944
Arizona,10,1700,1888,1726,1910,1872,2028
Arizona,11,1660,1976,1780,1694,1940,1966
Arizona,12,1590,1782,1802,1778,1740,1874
Arizona,13,1560,1692,1700,1762,1784,1936
Arizona,14,1560,1632,1728,1820,1842,1844
Arizona,15,1696,1584,1696,1744,1988,1924
Arizona,16,1678,1592,1634,1702,1734,1784
Arizona,17,1568,1574,1732,1638,1746,1914
Arizona,18,1440,1492,1692,1662,1690,1960
Arizona,19,1436,1546,1624,1688,1732,1871
Arizona,20,1536,1526,1536,1510,1642,1675
Arizona,21,1532,1436,1590,1510,1612,1715
Arizona,22,1560,1526,1608,1488,1696,1726
Arizona,23,1462,1554,1636,1492,1496,1789
Arizona,24,1344,1368,1508,1604,1640,1839
Arizona,25,1532,1500,1562,1450,1530,1933
Arizona,26,1538,1420,1526,1528,1524,1939
Arizona,27,1396,1392,1582,1554,1494,1967
Arizona,28,1364,1350,1470,1474,1624,2089
Arizona,29,1248,1350,1518,1594,1548,1953
Arizona,30,1390,1538,1380,1478,1482,1943
Arizona,31,1264,1400,1462,1502,1488,1917
Arizona,32,1282,1386,1504,1442,1514,1725
Arizona,33,1482,1444,1396,1418,1570,1706
Arizona,34,1328,1432,1414,1560,1526,1807
Arizona,35,1318,1452,1484,1526,1636,1853
Arizona,36,1320,1428,1548,1498,1634,1630
Arizona,37,1422,1326,1544,1506,1510,1688
Arizona,38,1516,1458,1418,1480,1580,1690
Arizona,39,1346,1356,1470,1546,1648,1686
Arizona,40,1430,1336,1492,1420,1546,1545
Arizona,41,1374,1502,1544,1476,1624,1609
Arizona,42,1398,1514,1518,1580,1666,
Arizona,43,1402,1436,1462,1608,1472,
Arizona,44,1474,1538,1550,1488,1646,
