State,Week,obs_19_week
Alabama,1,1077
Alabama,2,1090
Alabama,3,1114
Alabama,4,1063
Alabama,5,1095
Alabama,6,1092
Alabama,7,1103
Alabama,8,1064
Alabama,9,1050
Alabama,10,1062
Alabama,11,1090
Alabama,12,1012
Alabama,13,1079
Alabama,14,1044
Alabama,15,1031
Alabama,16,954
Alabama,17,1042
Alabama,18,1031
Alabama,19,1009
Alabama,20,996
Alabama,21,974
Alabama,22,1027
Alabama,23,1029
Alabama,24,986
Alabama,25,989
Alabama,26,940
Alabama,27,1028
Alabama,28,1018
Alabama,29,962
Alabama,30,980
Alabama,31,984
Alabama,32,998
Alabama,33,977
Alabama,34,939
Alabama,35,975
Alabama,36,1009
Alabama,37,1000
Alabama,38,883
Alabama,39,987
Alabama,40,958
Alabama,41,907
Alabama,42,1009
Alabama,43,978
Alabama,44,937
Alabama,45,1041
Alabama,46,1070
Alabama,47,1043
Alabama,48,1038
Alabama,49,1072
Alabama,50,1081
Alabama,51,1103
Alabama,52,1035
Alaska,1,93
Alaska,2,87
Alaska,3,94
Alaska,4,88
Alaska,5,99
Alaska,6,96
Alaska,7,99
Alaska,8,76
Alaska,9,94
Alaska,10,94
Alaska,11,100
Alaska,12,71
Alaska,13,90
Alaska,14,90
Alaska,15,81
Alaska,16,78
Alaska,17,79
Alaska,18,100
Alaska,19,86
Alaska,20,91
Alaska,21,82
Alaska,22,77
Alaska,23,93
Alaska,24,75
Alaska,25,97
Alaska,26,87
Alaska,27,81
Alaska,28,91
Alaska,29,74
Alaska,30,59
Alaska,31,74
Alaska,32,86
Alaska,33,94
Alaska,34,73
Alaska,35,82
Alaska,36,71
Alaska,37,91
Alaska,38,94
Alaska,39,82
Alaska,40,93
Alaska,41,91
Alaska,42,94
Alaska,43,67
Alaska,44,81
Alaska,45,89
Alaska,46,90
Alaska,47,92
Alaska,48,103
Alaska,49,93
Alaska,50,94
Alaska,51,84
Alaska,52,100
Arizona,1,1351
Arizona,2,1350
Arizona,3,1270
Arizona,4,1253
Arizona,5,1217
Arizona,6,1204
Arizona,7,1188
Arizona,8,1313
Arizona,9,1250
Arizona,10,1252
Arizona,11,1279
Arizona,12,1192
Arizona,13,1240
Arizona,14,1254
Arizona,15,1325
Arizona,16,1167
Arizona,17,1176
Arizona,18,1160
Arizona,19,1191
Arizona,20,1139
Arizona,21,1122
Arizona,22,1168
Arizona,23,1074
Arizona,24,1149
Arizona,25,1060
Arizona,26,1122
Arizona,27,1120
Arizona,28,1165
Arizona,29,1144
Arizona,30,1068
Arizona,31,1085
Arizona,32,1085
Arizona,33,1071
Arizona,34,1063
Arizona,35,1151
Arizona,36,1176
Arizona,37,1038
Arizona,38,1079
Arizona,39,1159
Arizona,40,1102
Arizona,41,1117
Arizona,42,1139
Arizona,43,1013
Arizona,44,1121
Arizona,45,1254
Arizona,46,1197
Arizona,47,1220
Arizona,48,1119
Arizona,49,1222
Arizona,50,1193
Arizona,51,1165
Arizona,52,1219
Arkansas,1,692
Arkansas,2,601
Arkansas,3,661
Arkansas,4,650
Arkansas,5,671
Arkansas,6,665
Arkansas,7,695
Arkansas,8,723
