Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
11/18/2020,2/1/2020,11/14/2020,AK,Anchorage Borough,2020,53,1642
11/18/2020,2/1/2020,11/14/2020,AK,Fairbanks North Star Borough,2090,16,397
11/18/2020,2/1/2020,11/14/2020,AL,Autauga County,1001,28,404
11/18/2020,2/1/2020,11/14/2020,AL,Baldwin County,1003,94,1775
11/18/2020,2/1/2020,11/14/2020,AL,Barbour County,1005,16,220
11/18/2020,2/1/2020,11/14/2020,AL,Bibb County,1007,19,155
11/18/2020,2/1/2020,11/14/2020,AL,Blount County,1009,12,397
11/18/2020,2/1/2020,11/14/2020,AL,Butler County,1013,27,183
11/18/2020,2/1/2020,11/14/2020,AL,Calhoun County,1015,117,1274
11/18/2020,2/1/2020,11/14/2020,AL,Chambers County,1017,10,300
11/18/2020,2/1/2020,11/14/2020,AL,Cherokee County,1019,10,241
11/18/2020,2/1/2020,11/14/2020,AL,Chilton County,1021,19,323
11/18/2020,2/1/2020,11/14/2020,AL,Choctaw County,1023,10,89
11/18/2020,2/1/2020,11/14/2020,AL,Clay County,1027,30,159
11/18/2020,2/1/2020,11/14/2020,AL,Coffee County,1031,16,417
11/18/2020,2/1/2020,11/14/2020,AL,Colbert County,1033,51,527
11/18/2020,2/1/2020,11/14/2020,AL,Covington County,1039,58,461
11/18/2020,2/1/2020,11/14/2020,AL,Crenshaw County,1041,26,161
11/18/2020,2/1/2020,11/14/2020,AL,Cullman County,1043,38,837
11/18/2020,2/1/2020,11/14/2020,AL,Dale County,1045,53,371
11/18/2020,2/1/2020,11/14/2020,AL,Dallas County,1047,46,381
11/18/2020,2/1/2020,11/14/2020,AL,DeKalb County,1049,28,566
11/18/2020,2/1/2020,11/14/2020,AL,Elmore County,1051,35,542
11/18/2020,2/1/2020,11/14/2020,AL,Escambia County,1053,22,305
11/18/2020,2/1/2020,11/14/2020,AL,Etowah County,1055,150,1349
11/18/2020,2/1/2020,11/14/2020,AL,Franklin County,1059,14,243
11/18/2020,2/1/2020,11/14/2020,AL,Geneva County,1061,11,262
11/18/2020,2/1/2020,11/14/2020,AL,Houston County,1069,278,1669
11/18/2020,2/1/2020,11/14/2020,AL,Jackson County,1071,21,508
11/18/2020,2/1/2020,11/14/2020,AL,Jefferson County,1073,724,8141
11/18/2020,2/1/2020,11/14/2020,AL,Lauderdale County,1077,87,1176
11/18/2020,2/1/2020,11/14/2020,AL,Lee County,1081,158,1071
11/18/2020,2/1/2020,11/14/2020,AL,Limestone County,1083,42,671
11/18/2020,2/1/2020,11/14/2020,AL,Madison County,1089,177,3385
11/18/2020,2/1/2020,11/14/2020,AL,Marengo County,1091,17,196
11/18/2020,2/1/2020,11/14/2020,AL,Marion County,1093,26,319
11/18/2020,2/1/2020,11/14/2020,AL,Marshall County,1095,58,978
11/18/2020,2/1/2020,11/14/2020,AL,Mobile County,1097,471,4414
11/18/2020,2/1/2020,11/14/2020,AL,Montgomery County,1101,377,2600
11/18/2020,2/1/2020,11/14/2020,AL,Morgan County,1103,70,1113
11/18/2020,2/1/2020,11/14/2020,AL,Pike County,1109,17,238
11/18/2020,2/1/2020,11/14/2020,AL,Randolph County,1111,12,171
11/18/2020,2/1/2020,11/14/2020,AL,Russell County,1113,15,311
11/18/2020,2/1/2020,11/14/2020,AL,St. Clair County,1115,46,646
11/18/2020,2/1/2020,11/14/2020,AL,Shelby County,1117,94,1200
11/18/2020,2/1/2020,11/14/2020,AL,Talladega County,1121,40,701
11/18/2020,2/1/2020,11/14/2020,AL,Tallapoosa County,1123,72,440
11/18/2020,2/1/2020,11/14/2020,AL,Tuscaloosa County,1125,258,1945
11/18/2020,2/1/2020,11/14/2020,AL,Walker County,1127,76,838
11/18/2020,2/1/2020,11/14/2020,AL,Washington County,1129,10,103
11/18/2020,2/1/2020,11/14/2020,AL,Winston County,1133,11,230
11/18/2020,2/1/2020,11/14/2020,AR,Baxter County,5005,38,745
11/18/2020,2/1/2020,11/14/2020,AR,Benton County,5007,163,1579
11/18/2020,2/1/2020,11/14/2020,AR,Boone County,5009,32,360
11/18/2020,2/1/2020,11/14/2020,AR,Chicot County,5017,12,90
11/18/2020,2/1/2020,11/14/2020,AR,Clark County,5019,12,186
11/18/2020,2/1/2020,11/14/2020,AR,Columbia County,5027,20,220
11/18/2020,2/1/2020,11/14/2020,AR,Craighead County,5031,214,1785
11/18/2020,2/1/2020,11/14/2020,AR,Crawford County,5033,10,372
11/18/2020,2/1/2020,11/14/2020,AR,Crittenden County,5035,22,295
11/18/2020,2/1/2020,11/14/2020,AR,Faulkner County,5045,57,875
11/18/2020,2/1/2020,11/14/2020,AR,Garland County,5051,121,1475
11/18/2020,2/1/2020,11/14/2020,AR,Hot Spring County,5059,10,235
11/18/2020,2/1/2020,11/14/2020,AR,Howard County,5061,11,123
11/18/2020,2/1/2020,11/14/2020,AR,Independence County,5063,73,453
11/18/2020,2/1/2020,11/14/2020,AR,Jefferson County,5069,105,802
11/18/2020,2/1/2020,11/14/2020,AR,Lawrence County,5075,14,136
11/18/2020,2/1/2020,11/14/2020,AR,Little River County,5081,25,129
11/18/2020,2/1/2020,11/14/2020,AR,Lonoke County,5085,20,382
11/18/2020,2/1/2020,11/14/2020,AR,Mississippi County,5093,24,310
11/18/2020,2/1/2020,11/14/2020,AR,Newton County,5101,13,82
11/18/2020,2/1/2020,11/14/2020,AR,Poinsett County,5111,10,134
11/18/2020,2/1/2020,11/14/2020,AR,Pope County,5115,25,544
11/18/2020,2/1/2020,11/14/2020,AR,Pulaski County,5119,394,5297
11/18/2020,2/1/2020,11/14/2020,AR,Randolph County,5121,14,134
11/18/2020,2/1/2020,11/14/2020,AR,Saline County,5125,35,750
11/18/2020,2/1/2020,11/14/2020,AR,Sebastian County,5131,161,1895
11/18/2020,2/1/2020,11/14/2020,AR,Stone County,5137,15,134
11/18/2020,2/1/2020,11/14/2020,AR,Union County,5139,52,461
11/18/2020,2/1/2020,11/14/2020,AR,Washington County,5143,195,1960
11/18/2020,2/1/2020,11/14/2020,AR,White County,5145,50,772
11/18/2020,2/1/2020,11/14/2020,AZ,Apache County,4001,43,442
11/18/2020,2/1/2020,11/14/2020,AZ,Cochise County,4003,31,887
11/18/2020,2/1/2020,11/14/2020,AZ,Coconino County,4005,135,1018
11/18/2020,2/1/2020,11/14/2020,AZ,Gila County,4007,35,580
11/18/2020,2/1/2020,11/14/2020,AZ,Graham County,4009,23,244
11/18/2020,2/1/2020,11/14/2020,AZ,Maricopa County,4013,3649,34272
11/18/2020,2/1/2020,11/14/2020,AZ,Mohave County,4015,201,2857
11/18/2020,2/1/2020,11/14/2020,AZ,Navajo County,4017,71,879
11/18/2020,2/1/2020,11/14/2020,AZ,Pima County,4019,761,9962
11/18/2020,2/1/2020,11/14/2020,AZ,Pinal County,4021,87,2150
11/18/2020,2/1/2020,11/14/2020,AZ,Yavapai County,4025,91,2582
11/18/2020,2/1/2020,11/14/2020,AZ,Yuma County,4027,314,1754
11/18/2020,2/1/2020,11/14/2020,CA,Alameda County,6001,464,8671
11/18/2020,2/1/2020,11/14/2020,CA,Amador County,6005,28,340
11/18/2020,2/1/2020,11/14/2020,CA,Butte County,6007,55,1797
11/18/2020,2/1/2020,11/14/2020,CA,Calaveras County,6009,11,299
11/18/2020,2/1/2020,11/14/2020,CA,Contra Costa County,6013,226,6443
11/18/2020,2/1/2020,11/14/2020,CA,Fresno County,6019,461,6618
11/18/2020,2/1/2020,11/14/2020,CA,Imperial County,6025,201,1004
11/18/2020,2/1/2020,11/14/2020,CA,Inyo County,6027,14,149
11/18/2020,2/1/2020,11/14/2020,CA,Kern County,6029,442,5497
11/18/2020,2/1/2020,11/14/2020,CA,Kings County,6031,124,804
11/18/2020,2/1/2020,11/14/2020,CA,Lake County,6033,16,513
11/18/2020,2/1/2020,11/14/2020,CA,Los Angeles County,6037,6501,59831
11/18/2020,2/1/2020,11/14/2020,CA,Madera County,6039,92,829
11/18/2020,2/1/2020,11/14/2020,CA,Marin County,6041,103,1631
11/18/2020,2/1/2020,11/14/2020,CA,Mendocino County,6045,17,675
11/18/2020,2/1/2020,11/14/2020,CA,Merced County,6047,91,1285
11/18/2020,2/1/2020,11/14/2020,CA,Monterey County,6053,94,2224
11/18/2020,2/1/2020,11/14/2020,CA,Napa County,6055,22,980
11/18/2020,2/1/2020,11/14/2020,CA,Nevada County,6057,11,791
11/18/2020,2/1/2020,11/14/2020,CA,Orange County,6059,1418,17900
11/18/2020,2/1/2020,11/14/2020,CA,Placer County,6061,108,3178
11/18/2020,2/1/2020,11/14/2020,CA,Riverside County,6065,1412,15400
11/18/2020,2/1/2020,11/14/2020,CA,Sacramento County,6067,501,10320
11/18/2020,2/1/2020,11/14/2020,CA,San Bernardino County,6071,1271,13660
11/18/2020,2/1/2020,11/14/2020,CA,San Diego County,6073,1121,19161
11/18/2020,2/1/2020,11/14/2020,CA,San Francisco County,6075,154,5122
11/18/2020,2/1/2020,11/14/2020,CA,San Joaquin County,6077,477,4873
11/18/2020,2/1/2020,11/14/2020,CA,San Luis Obispo County,6079,31,1831
11/18/2020,2/1/2020,11/14/2020,CA,San Mateo County,6081,178,3771
11/18/2020,2/1/2020,11/14/2020,CA,Santa Barbara County,6083,140,2687
11/18/2020,2/1/2020,11/14/2020,CA,Santa Clara County,6085,398,9165
11/18/2020,2/1/2020,11/14/2020,CA,Santa Cruz County,6087,35,1334
11/18/2020,2/1/2020,11/14/2020,CA,Shasta County,6089,38,1968
11/18/2020,2/1/2020,11/14/2020,CA,Solano County,6095,113,2771
11/18/2020,2/1/2020,11/14/2020,CA,Sonoma County,6097,159,3497
11/18/2020,2/1/2020,11/14/2020,CA,Stanislaus County,6099,520,4619
11/18/2020,2/1/2020,11/14/2020,CA,Tehama County,6103,13,438
11/18/2020,2/1/2020,11/14/2020,CA,Tulare County,6107,291,2684
11/18/2020,2/1/2020,11/14/2020,CA,Ventura County,6111,184,4784
11/18/2020,2/1/2020,11/14/2020,CA,Yolo County,6113,50,951
11/18/2020,2/1/2020,11/14/2020,CA,Yuba County,6115,19,612
11/18/2020,2/1/2020,11/14/2020,CO,Adams County,8001,338,3180
11/18/2020,2/1/2020,11/14/2020,CO,Arapahoe County,8005,439,3896
11/18/2020,2/1/2020,11/14/2020,CO,Boulder County,8013,115,1967
11/18/2020,2/1/2020,11/14/2020,CO,Broomfield County,8014,28,276
11/18/2020,2/1/2020,11/14/2020,CO,Chaffee County,8015,17,151
11/18/2020,2/1/2020,11/14/2020,CO,Denver County,8031,353,4487
11/18/2020,2/1/2020,11/14/2020,CO,Douglas County,8035,82,1383
11/18/2020,2/1/2020,11/14/2020,CO,El Paso County,8041,213,4441
11/18/2020,2/1/2020,11/14/2020,CO,Jefferson County,8059,300,4159
11/18/2020,2/1/2020,11/14/2020,CO,Larimer County,8069,80,2192
11/18/2020,2/1/2020,11/14/2020,CO,Logan County,8075,14,169
11/18/2020,2/1/2020,11/14/2020,CO,Mesa County,8077,42,1544
11/18/2020,2/1/2020,11/14/2020,CO,Montrose County,8085,15,348
11/18/2020,2/1/2020,11/14/2020,CO,Morgan County,8087,40,217
11/18/2020,2/1/2020,11/14/2020,CO,Pueblo County,8101,49,1732
11/18/2020,2/1/2020,11/14/2020,CO,Weld County,8123,135,1422
11/18/2020,2/1/2020,11/14/2020,CT,Fairfield County,9001,1465,6400
11/18/2020,2/1/2020,11/14/2020,CT,Hartford County,9003,1481,7687
11/18/2020,2/1/2020,11/14/2020,CT,Litchfield County,9005,137,1215
11/18/2020,2/1/2020,11/14/2020,CT,Middlesex County,9007,181,1169
11/18/2020,2/1/2020,11/14/2020,CT,New Haven County,9009,1109,7278
11/18/2020,2/1/2020,11/14/2020,CT,New London County,9011,128,1768
11/18/2020,2/1/2020,11/14/2020,CT,Tolland County,9013,49,573
11/18/2020,2/1/2020,11/14/2020,CT,Windham County,9015,14,702
11/18/2020,2/1/2020,11/14/2020,DC,District of Columbia,11001,810,5671
11/18/2020,2/1/2020,11/14/2020,DE,Kent County,10001,110,1491
11/18/2020,2/1/2020,11/14/2020,DE,New Castle County,10003,298,4311
11/18/2020,2/1/2020,11/14/2020,DE,Sussex County,10005,209,2171
11/18/2020,2/1/2020,11/14/2020,FL,Alachua County,12001,257,3105
11/18/2020,2/1/2020,11/14/2020,FL,Bay County,12005,147,1699
11/18/2020,2/1/2020,11/14/2020,FL,Brevard County,12009,404,6468
11/18/2020,2/1/2020,11/14/2020,FL,Broward County,12011,1754,14328
11/18/2020,2/1/2020,11/14/2020,FL,Charlotte County,12015,171,2548
11/18/2020,2/1/2020,11/14/2020,FL,Citrus County,12017,104,2291
11/18/2020,2/1/2020,11/14/2020,FL,Clay County,12019,133,1898
11/18/2020,2/1/2020,11/14/2020,FL,Collier County,12021,289,3206
11/18/2020,2/1/2020,11/14/2020,FL,Columbia County,12023,84,860
11/18/2020,2/1/2020,11/14/2020,FL,DeSoto County,12027,10,279
11/18/2020,2/1/2020,11/14/2020,FL,Duval County,12031,697,8933
11/18/2020,2/1/2020,11/14/2020,FL,Escambia County,12033,357,4135
11/18/2020,2/1/2020,11/14/2020,FL,Flagler County,12035,46,1235
11/18/2020,2/1/2020,11/14/2020,FL,Hendry County,12051,16,165
11/18/2020,2/1/2020,11/14/2020,FL,Hernando County,12053,149,2472
11/18/2020,2/1/2020,11/14/2020,FL,Highlands County,12055,127,1520
11/18/2020,2/1/2020,11/14/2020,FL,Hillsborough County,12057,903,10708
11/18/2020,2/1/2020,11/14/2020,FL,Indian River County,12061,92,1875
11/18/2020,2/1/2020,11/14/2020,FL,Jackson County,12063,55,475
11/18/2020,2/1/2020,11/14/2020,FL,Lake County,12069,242,3656
11/18/2020,2/1/2020,11/14/2020,FL,Lee County,12071,508,6642
11/18/2020,2/1/2020,11/14/2020,FL,Leon County,12073,274,2649
11/18/2020,2/1/2020,11/14/2020,FL,Manatee County,12081,356,3883
11/18/2020,2/1/2020,11/14/2020,FL,Marion County,12083,310,4539
11/18/2020,2/1/2020,11/14/2020,FL,Martin County,12085,243,1804
11/18/2020,2/1/2020,11/14/2020,FL,Miami-Dade County,12086,3419,20591
11/18/2020,2/1/2020,11/14/2020,FL,Monroe County,12087,16,448
11/18/2020,2/1/2020,11/14/2020,FL,Nassau County,12089,19,570
11/18/2020,2/1/2020,11/14/2020,FL,Okaloosa County,12091,133,1717
11/18/2020,2/1/2020,11/14/2020,FL,Okeechobee County,12093,34,372
11/18/2020,2/1/2020,11/14/2020,FL,Orange County,12095,722,8814
11/18/2020,2/1/2020,11/14/2020,FL,Osceola County,12097,231,2255
11/18/2020,2/1/2020,11/14/2020,FL,Palm Beach County,12099,1632,14212
11/18/2020,2/1/2020,11/14/2020,FL,Pasco County,12101,209,5299
11/18/2020,2/1/2020,11/14/2020,FL,Pinellas County,12103,818,11054
11/18/2020,2/1/2020,11/14/2020,FL,Polk County,12105,565,6293
11/18/2020,2/1/2020,11/14/2020,FL,Putnam County,12107,30,679
11/18/2020,2/1/2020,11/14/2020,FL,St. Johns County,12109,39,1433
11/18/2020,2/1/2020,11/14/2020,FL,St. Lucie County,12111,213,2958
11/18/2020,2/1/2020,11/14/2020,FL,Santa Rosa County,12113,45,1004
11/18/2020,2/1/2020,11/14/2020,FL,Sarasota County,12115,352,5216
11/18/2020,2/1/2020,11/14/2020,FL,Seminole County,12117,180,2953
11/18/2020,2/1/2020,11/14/2020,FL,Sumter County,12119,89,1992
11/18/2020,2/1/2020,11/14/2020,FL,Suwannee County,12121,21,304
11/18/2020,2/1/2020,11/14/2020,FL,Union County,12125,21,120
11/18/2020,2/1/2020,11/14/2020,FL,Volusia County,12127,352,6483
11/18/2020,2/1/2020,11/14/2020,FL,Walton County,12131,38,549
11/18/2020,2/1/2020,11/14/2020,FL,Washington County,12133,21,222
11/18/2020,2/1/2020,11/14/2020,GA,Appling County,13001,16,121
11/18/2020,2/1/2020,11/14/2020,GA,Bacon County,13005,21,126
11/18/2020,2/1/2020,11/14/2020,GA,Baldwin County,13009,60,394
11/18/2020,2/1/2020,11/14/2020,GA,Barrow County,13013,20,347
11/18/2020,2/1/2020,11/14/2020,GA,Bartow County,13015,65,824
11/18/2020,2/1/2020,11/14/2020,GA,Ben Hill County,13017,26,173
11/18/2020,2/1/2020,11/14/2020,GA,Berrien County,13019,10,121
11/18/2020,2/1/2020,11/14/2020,GA,Bibb County,13021,305,2448
11/18/2020,2/1/2020,11/14/2020,GA,Bleckley County,13023,14,88
11/18/2020,2/1/2020,11/14/2020,GA,Bulloch County,13031,58,589
11/18/2020,2/1/2020,11/14/2020,GA,Butts County,13035,20,194
11/18/2020,2/1/2020,11/14/2020,GA,Camden County,13039,11,235
11/18/2020,2/1/2020,11/14/2020,GA,Candler County,13043,18,120
11/18/2020,2/1/2020,11/14/2020,GA,Carroll County,13045,98,1039
11/18/2020,2/1/2020,11/14/2020,GA,Catoosa County,13047,10,435
11/18/2020,2/1/2020,11/14/2020,GA,Chatham County,13051,287,3069
11/18/2020,2/1/2020,11/14/2020,GA,Cherokee County,13057,56,1135
11/18/2020,2/1/2020,11/14/2020,GA,Clarke County,13059,147,1358
11/18/2020,2/1/2020,11/14/2020,GA,Clayton County,13063,67,1125
11/18/2020,2/1/2020,11/14/2020,GA,Cobb County,13067,453,4668
11/18/2020,2/1/2020,11/14/2020,GA,Coffee County,13069,58,349
11/18/2020,2/1/2020,11/14/2020,GA,Colquitt County,13071,48,478
11/18/2020,2/1/2020,11/14/2020,GA,Columbia County,13073,14,521
11/18/2020,2/1/2020,11/14/2020,GA,Coweta County,13077,59,839
11/18/2020,2/1/2020,11/14/2020,GA,Crisp County,13081,39,282
11/18/2020,2/1/2020,11/14/2020,GA,Decatur County,13087,20,252
11/18/2020,2/1/2020,11/14/2020,GA,DeKalb County,13089,315,4189
11/18/2020,2/1/2020,11/14/2020,GA,Dodge County,13091,30,172
11/18/2020,2/1/2020,11/14/2020,GA,Dougherty County,13095,226,1235
11/18/2020,2/1/2020,11/14/2020,GA,Douglas County,13097,40,644
11/18/2020,2/1/2020,11/14/2020,GA,Early County,13099,14,109
11/18/2020,2/1/2020,11/14/2020,GA,Effingham County,13103,10,241
11/18/2020,2/1/2020,11/14/2020,GA,Emanuel County,13107,40,210
11/18/2020,2/1/2020,11/14/2020,GA,Fannin County,13111,10,238
11/18/2020,2/1/2020,11/14/2020,GA,Fayette County,13113,108,937
11/18/2020,2/1/2020,11/14/2020,GA,Floyd County,13115,141,1426
11/18/2020,2/1/2020,11/14/2020,GA,Forsyth County,13117,85,1323
11/18/2020,2/1/2020,11/14/2020,GA,Franklin County,13119,15,212
11/18/2020,2/1/2020,11/14/2020,GA,Fulton County,13121,739,7685
11/18/2020,2/1/2020,11/14/2020,GA,Glynn County,13127,121,993
11/18/2020,2/1/2020,11/14/2020,GA,Gordon County,13129,42,451
11/18/2020,2/1/2020,11/14/2020,GA,Grady County,13131,17,166
11/18/2020,2/1/2020,11/14/2020,GA,Gwinnett County,13135,366,3586
11/18/2020,2/1/2020,11/14/2020,GA,Habersham County,13137,34,318
11/18/2020,2/1/2020,11/14/2020,GA,Hall County,13139,265,2295
11/18/2020,2/1/2020,11/14/2020,GA,Hancock County,13141,10,71
11/18/2020,2/1/2020,11/14/2020,GA,Henry County,13151,116,1596
11/18/2020,2/1/2020,11/14/2020,GA,Houston County,13153,89,1110
11/18/2020,2/1/2020,11/14/2020,GA,Jeff Davis County,13161,20,146
11/18/2020,2/1/2020,11/14/2020,GA,Jefferson County,13163,15,147
11/18/2020,2/1/2020,11/14/2020,GA,Jenkins County,13165,14,77
11/18/2020,2/1/2020,11/14/2020,GA,Lamar County,13171,14,123
11/18/2020,2/1/2020,11/14/2020,GA,Laurens County,13175,105,708
11/18/2020,2/1/2020,11/14/2020,GA,Lowndes County,13185,162,1046
11/18/2020,2/1/2020,11/14/2020,GA,Mitchell County,13205,15,165
11/18/2020,2/1/2020,11/14/2020,GA,Monroe County,13207,23,229
11/18/2020,2/1/2020,11/14/2020,GA,Muscogee County,13215,287,2403
11/18/2020,2/1/2020,11/14/2020,GA,Newton County,13217,55,643
11/18/2020,2/1/2020,11/14/2020,GA,Oconee County,13219,19,291
11/18/2020,2/1/2020,11/14/2020,GA,Paulding County,13223,42,654
11/18/2020,2/1/2020,11/14/2020,GA,Pickens County,13227,16,304
11/18/2020,2/1/2020,11/14/2020,GA,Pulaski County,13235,28,102
11/18/2020,2/1/2020,11/14/2020,GA,Putnam County,13237,12,150
11/18/2020,2/1/2020,11/14/2020,GA,Richmond County,13245,394,3236
11/18/2020,2/1/2020,11/14/2020,GA,Rockdale County,13247,51,652
11/18/2020,2/1/2020,11/14/2020,GA,Spalding County,13255,102,967
11/18/2020,2/1/2020,11/14/2020,GA,Stephens County,13257,25,269
11/18/2020,2/1/2020,11/14/2020,GA,Sumter County,13261,48,299
11/18/2020,2/1/2020,11/14/2020,GA,Tattnall County,13267,14,142
11/18/2020,2/1/2020,11/14/2020,GA,Thomas County,13275,110,624
11/18/2020,2/1/2020,11/14/2020,GA,Tift County,13277,126,560
11/18/2020,2/1/2020,11/14/2020,GA,Toombs County,13279,65,431
11/18/2020,2/1/2020,11/14/2020,GA,Troup County,13285,107,704
11/18/2020,2/1/2020,11/14/2020,GA,Union County,13291,22,262
11/18/2020,2/1/2020,11/14/2020,GA,Upson County,13293,89,461
11/18/2020,2/1/2020,11/14/2020,GA,Walker County,13295,18,459
11/18/2020,2/1/2020,11/14/2020,GA,Walton County,13297,53,699
11/18/2020,2/1/2020,11/14/2020,GA,Ware County,13299,87,546
11/18/2020,2/1/2020,11/14/2020,GA,Washington County,13303,15,151
11/18/2020,2/1/2020,11/14/2020,GA,Wayne County,13305,31,271
11/18/2020,2/1/2020,11/14/2020,GA,Whitfield County,13313,64,746
11/18/2020,2/1/2020,11/14/2020,HI,Hawaii County,15001,46,1414
11/18/2020,2/1/2020,11/14/2020,HI,Honolulu County,15003,226,6634
11/18/2020,2/1/2020,11/14/2020,HI,Maui County,15009,18,962
11/18/2020,2/1/2020,11/14/2020,IA,Allamakee County,19005,10,144
11/18/2020,2/1/2020,11/14/2020,IA,Black Hawk County,19013,133,1196
11/18/2020,2/1/2020,11/14/2020,IA,Bremer County,19017,14,185
11/18/2020,2/1/2020,11/14/2020,IA,Carroll County,19027,10,189
11/18/2020,2/1/2020,11/14/2020,IA,Cass County,19029,17,151
11/18/2020,2/1/2020,11/14/2020,IA,Cerro Gordo County,19033,42,592
11/18/2020,2/1/2020,11/14/2020,IA,Clinton County,19045,39,380
11/18/2020,2/1/2020,11/14/2020,IA,Crawford County,19047,11,127
11/18/2020,2/1/2020,11/14/2020,IA,Dallas County,19049,47,366
11/18/2020,2/1/2020,11/14/2020,IA,Delaware County,19055,20,132
11/18/2020,2/1/2020,11/14/2020,IA,Des Moines County,19057,21,409
11/18/2020,2/1/2020,11/14/2020,IA,Dubuque County,19061,95,822
11/18/2020,2/1/2020,11/14/2020,IA,Emmet County,19063,19,107
11/18/2020,2/1/2020,11/14/2020,IA,Franklin County,19069,10,85
11/18/2020,2/1/2020,11/14/2020,IA,Guthrie County,19077,11,75
