Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
5/28/2020,2/1/2020,5/23/2020,AL,Etowah County,1055,11,463
5/28/2020,2/1/2020,5/23/2020,AL,Houston County,1069,28,564
5/28/2020,2/1/2020,5/23/2020,AL,Jefferson County,1073,111,2902
5/28/2020,2/1/2020,5/23/2020,AL,Lee County,1081,54,402
5/28/2020,2/1/2020,5/23/2020,AL,Madison County,1089,10,1241
5/28/2020,2/1/2020,5/23/2020,AL,Mobile County,1097,105,1594
5/28/2020,2/1/2020,5/23/2020,AL,Montgomery County,1101,34,893
5/28/2020,2/1/2020,5/23/2020,AL,Shelby County,1117,15,406
5/28/2020,2/1/2020,5/23/2020,AL,Tallapoosa County,1123,46,201
5/28/2020,2/1/2020,5/23/2020,AL,Tuscaloosa County,1125,22,664
5/28/2020,2/1/2020,5/23/2020,AZ,Coconino County,4005,81,414
5/28/2020,2/1/2020,5/23/2020,AZ,Maricopa County,4013,317,12333
5/28/2020,2/1/2020,5/23/2020,AZ,Mohave County,4015,22,1045
5/28/2020,2/1/2020,5/23/2020,AZ,Navajo County,4017,12,312
5/28/2020,2/1/2020,5/23/2020,AZ,Pima County,4019,165,3790
5/28/2020,2/1/2020,5/23/2020,AZ,Pinal County,4021,14,828
5/28/2020,2/1/2020,5/23/2020,AR,Jefferson County,5069,23,316
5/28/2020,2/1/2020,5/23/2020,AR,Pulaski County,5119,29,1967
5/28/2020,2/1/2020,5/23/2020,CA,Alameda County,6001,84,3459
5/28/2020,2/1/2020,5/23/2020,CA,Contra Costa County,6013,33,2593
5/28/2020,2/1/2020,5/23/2020,CA,Fresno County,6019,16,2327
5/28/2020,2/1/2020,5/23/2020,CA,Kern County,6029,21,1921
5/28/2020,2/1/2020,5/23/2020,CA,Los Angeles County,6037,1467,22851
5/28/2020,2/1/2020,5/23/2020,CA,Marin County,6041,13,612
5/28/2020,2/1/2020,5/23/2020,CA,Orange County,6059,101,6641
5/28/2020,2/1/2020,5/23/2020,CA,Placer County,6061,18,1228
5/28/2020,2/1/2020,5/23/2020,CA,Riverside County,6065,207,5694
5/28/2020,2/1/2020,5/23/2020,CA,Sacramento County,6067,47,3897
5/28/2020,2/1/2020,5/23/2020,CA,San Bernardino County,6071,153,4737
5/28/2020,2/1/2020,5/23/2020,CA,San Diego County,6073,214,7381
5/28/2020,2/1/2020,5/23/2020,CA,San Francisco County,6075,40,1970
5/28/2020,2/1/2020,5/23/2020,CA,San Joaquin County,6077,22,1720
5/28/2020,2/1/2020,5/23/2020,CA,San Mateo County,6081,73,1559
5/28/2020,2/1/2020,5/23/2020,CA,Santa Clara County,6085,124,3615
5/28/2020,2/1/2020,5/23/2020,CA,Solano County,6095,14,1104
5/28/2020,2/1/2020,5/23/2020,CA,Stanislaus County,6099,26,1638
5/28/2020,2/1/2020,5/23/2020,CA,Tulare County,6107,59,1010
5/28/2020,2/1/2020,5/23/2020,CA,Ventura County,6111,27,1832
5/28/2020,2/1/2020,5/23/2020,CA,Yolo County,6113,16,377
5/28/2020,2/1/2020,5/23/2020,CO,Adams County,8001,139,1233
5/28/2020,2/1/2020,5/23/2020,CO,Arapahoe County,8005,284,1758
5/28/2020,2/1/2020,5/23/2020,CO,Boulder County,8013,63,841
5/28/2020,2/1/2020,5/23/2020,CO,Broomfield County,8014,16,127
5/28/2020,2/1/2020,5/23/2020,CO,Chaffee County,8015,14,66
5/28/2020,2/1/2020,5/23/2020,CO,Denver County,8031,202,1885
5/28/2020,2/1/2020,5/23/2020,CO,Douglas County,8035,44,569
5/28/2020,2/1/2020,5/23/2020,CO,El Paso County,8041,76,1728
5/28/2020,2/1/2020,5/23/2020,CO,Jefferson County,8059,127,1751
5/28/2020,2/1/2020,5/23/2020,CO,Larimer County,8069,34,889
5/28/2020,2/1/2020,5/23/2020,CO,Montrose County,8085,11,150
5/28/2020,2/1/2020,5/23/2020,CO,Morgan County,8087,25,96
5/28/2020,2/1/2020,5/23/2020,CO,Pueblo County,8101,11,692
5/28/2020,2/1/2020,5/23/2020,CO,Weld County,8123,92,600
5/28/2020,2/1/2020,5/23/2020,CT,Fairfield County,9001,477,1407
5/28/2020,2/1/2020,5/23/2020,CT,Hartford County,9003,431,1640
5/28/2020,2/1/2020,5/23/2020,CT,Litchfield County,9005,46,194
5/28/2020,2/1/2020,5/23/2020,CT,Middlesex County,9007,39,221
5/28/2020,2/1/2020,5/23/2020,CT,New Haven County,9009,308,1359
5/28/2020,2/1/2020,5/23/2020,CT,New London County,9011,21,285
5/28/2020,2/1/2020,5/23/2020,CT,Tolland County,9013,20,95
5/28/2020,2/1/2020,5/23/2020,DE,Kent County,10001,27,506
5/28/2020,2/1/2020,5/23/2020,DE,New Castle County,10003,89,1448
5/28/2020,2/1/2020,5/23/2020,DE,Sussex County,10005,101,803
5/28/2020,2/1/2020,5/23/2020,DC,District of Columbia,11001,282,2168
5/28/2020,2/1/2020,5/23/2020,FL,Alachua County,12001,19,1154
5/28/2020,2/1/2020,5/23/2020,FL,Brevard County,12009,10,2459
5/28/2020,2/1/2020,5/23/2020,FL,Broward County,12011,291,5299
5/28/2020,2/1/2020,5/23/2020,FL,Charlotte County,12015,48,1084
5/28/2020,2/1/2020,5/23/2020,FL,Citrus County,12017,10,920
5/28/2020,2/1/2020,5/23/2020,FL,Clay County,12019,16,721
5/28/2020,2/1/2020,5/23/2020,FL,Collier County,12021,37,1273
5/28/2020,2/1/2020,5/23/2020,FL,Duval County,12031,42,3241
5/28/2020,2/1/2020,5/23/2020,FL,Escambia County,12033,31,1531
5/28/2020,2/1/2020,5/23/2020,FL,Hillsborough County,12057,58,4008
5/28/2020,2/1/2020,5/23/2020,FL,Lake County,12069,21,1353
5/28/2020,2/1/2020,5/23/2020,FL,Lee County,12071,75,2567
5/28/2020,2/1/2020,5/23/2020,FL,Leon County,12073,15,898
5/28/2020,2/1/2020,5/23/2020,FL,Manatee County,12081,86,1526
5/28/2020,2/1/2020,5/23/2020,FL,Martin County,12085,18,678
5/28/2020,2/1/2020,5/23/2020,FL,Miami-Dade County,12086,506,7374
5/28/2020,2/1/2020,5/23/2020,FL,Orange County,12095,53,3248
5/28/2020,2/1/2020,5/23/2020,FL,Osceola County,12097,23,815
5/28/2020,2/1/2020,5/23/2020,FL,Palm Beach County,12099,278,5459
5/28/2020,2/1/2020,5/23/2020,FL,Pasco County,12101,13,2122
5/28/2020,2/1/2020,5/23/2020,FL,Pinellas County,12103,68,4175
